Const,Your Rating,Date Rated,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,YearRated,Metascore Rating
tt3553976,7,2016-10-16,Captain Fantastic,https://www.imdb.com/title/tt3553976/,movie,7.9,118,2016,"Comedy, Drama",137756,2016-01-23,Matt Ross,2016,7.2
tt3564574,6,2016-09-09,Éternité,https://www.imdb.com/title/tt3564574/,movie,5.6,115,2016,Drama,795,2016-09-07,Tran Anh Hung,2016,NA
tt3569230,4,2016-04-10,Legend,https://www.imdb.com/title/tt3569230/,movie,7,132,2015,"Biography, Crime, Drama, Thriller",124558,2015-09-03,Brian Helgeland,2016,5.5
tt3577624,5,2016-03-16,A Perfect Day,https://www.imdb.com/title/tt3577624/,movie,6.8,106,2015,"Comedy, Drama, War",15839,2015-05-16,Fernando León de Aranoa,2016,6
tt3606752,5,2017-07-25,Cars 3,https://www.imdb.com/title/tt3606752/,movie,6.8,102,2017,"Animation, Adventure, Comedy, Family, Sport",44080,2017-06-10,Brian Fee,2017,5.9
tt3631112,5,2016-10-29,The Girl on the Train,https://www.imdb.com/title/tt3631112/,movie,6.5,112,2016,"Crime, Drama, Mystery, Thriller",132058,2016-09-20,Tate Taylor,2016,4.8
tt3640424,6,2016-12-10,Allied,https://www.imdb.com/title/tt3640424/,movie,7.1,124,2016,"Action, Drama, Romance, Thriller, War",109109,2016-11-13,Robert Zemeckis,2016,6
tt3666024,8,2016-06-29,La tortue rouge,https://www.imdb.com/title/tt3666024/,movie,7.5,80,2016,"Animation, Fantasy",20418,2016-05-18,Michael Dudok de Wit,2016,8.6
tt3691740,6,2016-07-23,The BFG,https://www.imdb.com/title/tt3691740/,movie,6.4,117,2016,"Adventure, Family, Fantasy",62099,2016-05-14,Steven Spielberg,2016,6.6
tt3717252,3,2017-02-15,Underworld: Blood Wars,https://www.imdb.com/title/tt3717252/,movie,5.8,91,2016,"Action, Adventure, Fantasy, Horror",55933,2016-11-24,Anna Foerster,2017,2.3
tt3717490,5,2017-04-08,Power Rangers,https://www.imdb.com/title/tt3717490/,movie,6,124,2017,"Action, Adventure, Sci-Fi",80918,2017-03-22,Dean Israelite,2017,4.4
tt3731562,6,2017-03-08,Kong: Skull Island,https://www.imdb.com/title/tt3731562/,movie,6.7,118,2017,"Action, Adventure, Fantasy, Sci-Fi",202923,2017-02-28,Jordan Vogt-Roberts,2017,6.2
tt3741632,5,2018-01-14,The Leisure Seeker,https://www.imdb.com/title/tt3741632/,movie,6.6,112,2017,"Adventure, Comedy, Drama, Romance",1535,2017-09-03,Paolo Virzì,2018,4.5
tt3741834,8,2017-04-02,Lion,https://www.imdb.com/title/tt3741834/,movie,8.1,118,2016,"Biography, Drama",158067,2016-09-10,Garth Davis,2017,6.9
tt3748528,7,2016-12-18,Rogue One,https://www.imdb.com/title/tt3748528/,movie,7.8,133,2016,"Action, Adventure, Sci-Fi",420487,2016-12-10,Gareth Edwards,2016,6.5
tt3774802,4,2016-05-30,Pandemic,https://www.imdb.com/title/tt3774802/,movie,4.5,91,2016,"Action, Horror, Sci-Fi, Thriller",6693,2016-02-26,John Suits,2016,4.7
tt3783958,9,2017-01-25,La La Land,https://www.imdb.com/title/tt3783958/,movie,8.1,128,2016,"Comedy, Drama, Music, Music, Romance",368755,2016-08-31,Damien Chazelle,2017,9.3
tt3787590,5,2016-06-04,We Are Your Friends,https://www.imdb.com/title/tt3787590/,movie,6.2,96,2015,"Drama, Music, Romance",29473,2015-08-11,Max Joseph,2016,4.6
tt3797868,4,2016-05-16,The Choice,https://www.imdb.com/title/tt3797868/,movie,6.6,111,2016,"Drama, Romance",26094,2016-02-01,Ross Katz,2016,2.6
tt3799694,7,2016-05-21,The Nice Guys,https://www.imdb.com/title/tt3799694/,movie,7.4,116,2016,"Action, Comedy, Crime, Drama, Mystery, Thriller",212798,2016-05-15,Shane Black,2016,7
tt3832914,3,2016-01-31,War Room,https://www.imdb.com/title/tt3832914/,movie,6.4,120,2015,Drama,10811,2015-08-28,Alex Kendrick,2016,2.6
tt3850590,3,2016-04-15,Krampus,https://www.imdb.com/title/tt3850590/,movie,6.2,98,2015,"Comedy, Fantasy, Horror",49432,2015-11-30,Michael Dougherty,2016,4.9
tt3874544,4,2017-04-01,The Boss Baby,https://www.imdb.com/title/tt3874544/,movie,6.3,97,2017,"Animation, Comedy, Family, Fantasy",77558,2017-03-12,Tom McGrath,2017,5
tt3890160,7,2017-07-20,Baby Driver,https://www.imdb.com/title/tt3890160/,movie,7.7,112,2017,"Action, Crime, Music, Thriller",293081,2017-03-11,Edgar Wright,2017,8.6
tt3896198,6,2017-04-29,Guardians of the Galaxy Vol. 2,https://www.imdb.com/title/tt3896198/,movie,7.7,136,2017,"Action, Adventure, Sci-Fi",366628,2017-04-10,James Gunn,2017,6.7
tt3949660,2,2016-07-11,Teenage Mutant Ninja Turtles: Out of the Shadows,https://www.imdb.com/title/tt3949660/,movie,6,112,2016,"Action, Adventure, Comedy, Sci-Fi",70033,2016-05-22,Dave Green,2016,4
tt3950078,5,2016-04-09,Zhì qu weihu shan,https://www.imdb.com/title/tt3950078/,movie,6.5,141,2014,"Action, Adventure, Biography, History, War",2262,2014-12-23,Hark Tsui,2016,6.1
tt3963816,5,2016-09-04,Marauders,https://www.imdb.com/title/tt3963816/,movie,5.5,107,2016,"Action, Crime, Mystery, Thriller",14173,2016-07-01,Steven C. Miller,2016,4.2
tt3967856,6,2017-09-09,Okja,https://www.imdb.com/title/tt3967856/,movie,7.4,120,2017,"Action, Adventure, Drama, Sci-Fi",58711,2017-05-19,Joon-ho Bong,2017,7.5
tt3991412,3,2017-09-10,The 9th Life of Louis Drax,https://www.imdb.com/title/tt3991412/,movie,6.3,108,2016,"Mystery, Thriller",10383,2016-09-01,Alexandre Aja,2017,4.1
tt4005402,4,2016-04-22,Colonia,https://www.imdb.com/title/tt4005402/,movie,7.1,106,2015,"Drama, Romance, Thriller",36530,2015-09-13,Florian Gallenberger,2016,3.3
tt4019560,3,2017-06-11,Exposed,https://www.imdb.com/title/tt4019560/,movie,4.3,102,2016,"Crime, Drama, Fantasy, Mystery, Thriller",10274,2016-01-22,Gee Malik Linton,2017,2.3
tt4034228,7,2016-12-14,Manchester by the Sea,https://www.imdb.com/title/tt4034228/,movie,7.8,137,2016,Drama,186440,2016-01-23,Kenneth Lonergan,2016,9.6
tt4034354,5,2017-06-04,Swiss Army Man,https://www.imdb.com/title/tt4034354/,movie,7,97,2016,"Adventure, Comedy, Drama, Fantasy, Romance",79482,2016-01-22,"Dan Kwan, Daniel Scheinert",2017,6.4
tt4057632,6,2016-03-28,Nous trois ou rien,https://www.imdb.com/title/tt4057632/,movie,7.2,102,2015,"Comedy, Drama",1514,2015-10-22,Kheiron,2016,NA
tt4058218,3,2016-04-20,Ange et Gabrielle,https://www.imdb.com/title/tt4058218/,movie,5.7,91,2015,"Comedy, Romance",618,2015-11-11,Anne Giafferi,2016,NA
tt4062536,5,2016-05-01,Green Room,https://www.imdb.com/title/tt4062536/,movie,7,95,2015,"Crime, Horror, Thriller",76579,2015-05-17,Jeremy Saulnier,2016,7.9
tt4084056,7,2017-01-10,Le goût des merveilles,https://www.imdb.com/title/tt4084056/,movie,6.8,100,2015,"Comedy, Drama, Romance",1741,2015-11-08,Éric Besnard,2017,NA
tt4085944,2,2016-03-02,Lolo,https://www.imdb.com/title/tt4085944/,movie,5.7,99,2015,Comedy,2849,2015-09-03,Julie Delpy,2016,5
