date_time,room,theatre,imdb_id
2018-01-01 13:50,3,METROPOLE,tt4420704
2018-01-12 19:15,9,LILLE,tt1389072
2018-01-13 15:45,6,LILLE,tt6923840
2018-01-13 17:50,2,LILLE,tt3741632
2018-01-21 19:30,4,LILLE,tt4555426
2018-01-21 13:15,1,LILLE,tt5027774
2018-01-24 19:30,7,LILLE,tt4209788
2018-01-26 20:20,9,LILLE,tt1485796
2018-01-26 22:10,5,LILLE,tt7491128
2018-01-27 13:30,11,LILLE,tt5723272
2018-01-28 13:50,6,LILLE,tt6294822
2018-01-30 18:05,8,LILLE,tt1590193
2018-02-02 18:05,8,LILLE,tt5825380
2018-02-03 16:00,1,LILLE,tt7066382
2018-02-04 15:50,12,LILLE,tt4701724
2018-02-08 19:15,9,LILLE,tt4500922
2018-02-14 18:00,9,LILLE,tt7064498
2018-02-18 13:45,6,LILLE,tt1825683
2018-02-20 20:15,11,LILLE,tt6336356
2018-02-21 19:00,1,MAJESTIC,tt5580390
2018-02-24 16:30,9,LILLE,tt6859418
2018-02-25 14:00,2,MAJESTIC,tt5776858
2018-03-01 18:05,12,LILLE,tt4925292
2018-03-03 14:15,13,LILLE,tt5580036
2018-03-03 16:30,11,LILLE,tt5726616
2018-03-08 20:15,6,LILLE,tt6820184
2018-03-15 13:30,1,LILLE,tt6838702
2018-03-15 20:10,11,LILLE,tt1620680
2018-03-16 14:00,6,LILLE,tt1365519
2018-03-17 13:45,3,LILLE,tt5478478
2018-03-22 20:05,1,LILLE,tt2557478
2018-03-24 13:30,9,LILLE,tt7839456
2018-03-24 15:30,5,LILLE,tt6414890
2018-03-24 18:00,6,LILLE,tt7141030
2018-03-28 20:30,6,LILLE,tt1677720
2018-03-28 18:05,12,LILLE,tt6781638
2018-03-31 13:55,2,LILLE,tt5360996
2018-04-04 18:00,6,LILLE,tt6995612
2018-04-05 19:00,9,LILLE,tt2873282
2018-04-08 18:05,3,LILLE,tt5092380
2018-04-12 21:00,2,LILLE,tt7238392
2018-04-13 20:15,11,LILLE,tt5843850
2018-04-15 13:55,9,LILLE,tt5104604
2018-04-19 20:20,4,LILLE,tt2704998
2018-04-21 16:00,8,LILLE,tt8098548
2018-04-21 20:15,6,LILLE,tt6960736
2018-04-23 19:25,1,MAJESTIC,tt6972372
2018-04-25 13:50,1,LILLE,tt4154756
2018-04-25 20:10,3,LILLE,tt7654872
2018-04-27 16:30,7,LILLE,tt4682788
2018-04-30 13:30,5,LILLE,tt5117670
2018-05-01 13:50,7,LILLE,tt2296777
