date_time,room,theatre
2014-01-01 16:30,8,LILLE
2014-01-01 14:15,2,LILLE
2014-01-11 10:55,2,LILLE
2014-01-15 22:15,4,LILLE
2014-01-23 17:55,11,LILLE
2014-01-23 19:40,9,LILLE
2014-01-24 17:55,4,LILLE
2014-01-24 20:05,3,LILLE
2014-01-26 19:30,1,LILLE
2014-01-27 18:00,14,LILLE
2014-01-29 22:15,12,LILLE
2014-01-30 20:20,4,LILLE
2014-01-30 22:15,11,LILLE
2014-01-31 20:15,8,LILLE
2014-02-01 11:00,6,LILLE
2014-02-05 22:05,6,LILLE
2014-02-08 11:00,6,LILLE
2014-02-09 17:50,11,LILLE
2014-02-09 19:30,1,LILLE
2014-02-12 22:05,8,LILLE
2014-02-17 14:00,1,MAJESTIC
2014-02-14 20:05,2,LILLE
2014-02-14 22:00,9,LILLE
2014-02-19 22:15,6,LILLE
2014-02-26 22:25,4,LILLE
2014-02-27 19:45,10,LILLE
2014-02-27 21:50,6,LILLE
2014-03-01 10:55,13,LILLE
2014-03-01 20:20,3,LILLE
2014-03-01 22:20,2,LILLE
2014-03-05 22:15,6,LILLE
2014-03-08 10:50,4,LILLE
2014-03-08 18:00,13,LILLE
2014-03-12 22:15,6,LILLE
2014-03-18 16:45,6,LILLE
2014-03-21 13:50,1,LILLE
2014-03-21 15:40,2,LILLE
2014-03-23 11:00,1,LILLE
2014-03-26 22:15,11,LILLE
2014-03-27 19:30,6,LILLE
2014-03-29 13:40,4,MAJESTIC
2014-03-29 20:05,14,LILLE
2014-04-02 22:20,8,LILLE
2014-04-09 22:20,11,LILLE
2014-04-11 19:30,6,LILLE
2014-04-12 14:00,3,LILLE
2014-04-12 16:30,12,LILLE
2014-04-13 10:30,8,LILLE
2014-04-16 22:20,1,LILLE
2014-04-24 15:55,4,LILLE
2014-04-24 17:45,8,LILLE
2014-04-26 20:25,3,LILLE
2014-04-26 22:10,6,LILLE
2014-04-30 22:25,4,LILLE
2014-05-03 16:35,8,LILLE
2014-05-09 18:00,11,LILLE
2014-05-09 19:45,14,LILLE
2014-05-10 15:50,13,LILLE
2014-05-10 17:50,5,LILLE
2014-05-11 13:55,2,MAJESTIC
2014-05-25 19:40,1,LILLE
2014-05-25 22:00,8,LILLE
2014-05-31 13:30,11,LILLE
2014-06-01 15:35,4,MAJESTIC
2014-06-07 15:50,6,LILLE
2014-06-07 17:55,9,LILLE
2014-06-12 17:55,11,LILLE
2014-06-25 19:20,12,LILLE
2014-06-26 19:50,1,LILLE
2014-07-18 17:00,6,LILLE
2014-07-22 18:05,9,LILLE
2014-07-24 11:05,7,LILLE
2014-07-26 20:15,10,LILLE
2014-08-03 16:40,6,LILLE
2014-08-08 18:00,9,LILLE
2014-08-12 16:00,4,LILLE
2014-08-12 17:50,6,LILLE
2014-08-13 14:00,4,MAJESTIC
2014-08-13 16:00,10,LILLE
2014-08-14 16:00,11,LILLE
2014-08-16 14:00,6,LILLE
2014-08-24 10:55,9,LILLE
2014-08-24 19:30,10,LILLE
2014-08-26 18:05,11,LILLE
2014-08-26 19:50,13,LILLE
2014-08-27 17:30,3,MAJESTIC
2014-08-30 10:40,8,LILLE
2014-09-11 17:55,9,LILLE
2014-09-13 15:50,1,LILLE
2014-09-13 18:00,6,LILLE
2014-09-20 14:00,12,LILLE
2014-09-24 18:05,12,LILLE
2014-10-01 18:05,6,LILLE
2014-10-01 19:50,12,LILLE
2014-10-03 18:00,9,LILLE
2014-10-03 19:30,11,LILLE
2014-10-11 15:50,2,LILLE
2014-10-11 17:30,9,LILLE
2014-10-15 20:10,8,LILLE
2014-10-15 22:00,13,LILLE
2014-10-16 20:00,9,LILLE
2014-10-20 16:10,10,LILLE
2014-10-20 17:55,9,LILLE
2014-10-21 14:00,1,LILLE
2014-10-23 16:00,12,LILLE
2014-10-23 17:50,9,LILLE
2014-10-23 19:30,6,LILLE
2014-10-24 13:45,5,LILLE
2014-10-28 10:50,2,LILLE
2014-10-29 16:00,1,LILLE
2014-10-30 13:50,11,LILLE
2014-10-30 15:50,12,LILLE
2014-11-06 18:05,4,LILLE
2014-11-06 19:55,11,LILLE
2014-11-11 18:00,9,LILLE
2014-11-16 15:55,14,LILLE
2014-11-16 17:50,11,LILLE
2014-11-18 21:20,3,MAJESTIC
2014-11-21 18:00,10,LILLE
2014-11-21 19:45,9,LILLE
2014-11-23 14:00,11,LILLE
2014-11-23 16:30,12,LILLE
2014-11-25 20:20,2,MAJESTIC
2014-11-26 17:50,1,LILLE
2014-11-29 13:55,3,LILLE
2014-12-07 13:50,9,LILLE
2014-12-07 15:35,7,LILLE
2014-12-07 17:50,1,LILLE
2014-12-13 10:45,1,LILLE
2014-12-17 20:15,12,LILLE
2014-12-26 14:00,9,LILLE
2014-12-26 10:50,1,LILLE
