date_time,room,theatre
2017-01-02 16:00,11,LILLE
2017-01-04 18:55,6,MAJESTIC
2017-01-05 19:50,9,LILLE
2017-01-16 17:55,1,LILLE
2017-01-22 13:50,11,LILLE
2017-01-25 19:30,1,LILLE
2017-01-27 18:10,8,LILLE
2017-02-04 15:25,6,LILLE
2017-02-13 13:30,5,LILLE
2017-02-16 14:00,4,LILLE
2017-02-16 20:20,9,LILLE
2017-02-17 18:00,5,LILLE
2017-02-21 19:40,1,LILLE
2017-02-25 19:40,2,LILLE
2017-02-26 19:45,1,LILLE
2017-03-03 20:15,9,LILLE
2017-03-04 10:50,1,LILLE
2017-03-04 19:50,4,LILLE
2017-03-07 19:50,5,LILLE
2017-03-08 19:40,1,LILLE
2017-03-09 19:30,11,LILLE
2017-03-16 20:15,8,LILLE
2017-03-18 19:10,9,LILLE
2017-03-22 19:30,6,LILLE
2017-03-26 20:15,5,LILLE
2017-03-28 19:25,4,MAJESTIC
2017-03-29 18:10,3,LILLE
2017-03-31 20:15,1,LILLE
2017-04-01 13:50,6,LILLE
2017-04-02 17:00,4,LILLE
2017-04-08 13:50,11,LILLE
2017-04-08 16:25,2,VDA
2017-04-09 13:50,1,LILLE
2017-04-09 20:00,14,LILLE
2017-04-12 18:15,10,LILLE
2017-04-13 20:15,2,LILLE
2017-04-18 10:50,9,LILLE
2017-04-18 20:00,8,LILLE
2017-04-19 19:20,12,LILLE
2017-04-20 20:00,1,LILLE
2017-04-23 13:45,6,LILLE
2017-04-28 17:45,9,LILLE
2017-04-29 10:50,1,LILLE
2017-05-05 20:15,8,LILLE
2017-05-06 13:35,1,LILLE
2017-05-10 19:25,6,LILLE
2017-05-13 20:15,13,LILLE
2017-05-16 19:45,6,LILLE
2017-05-20 13:15,11,LILLE
2017-05-25 14:00,1,LILLE
2017-06-04 13:40,12,LILLE
2017-06-04 17:50,9,LILLE
2017-06-05 13:45,3,MAJESTIC
2017-06-08 19:10,1,LILLE
2017-06-16 20:15,1,LILLE
2017-06-18 13:40,2,MAJESTIC
2017-06-23 19:30,9,LILLE
2017-06-24 16:00,4,LILLE
2017-06-28 21:30,6,LILLE
2017-07-08 10:50,10,LILLE
2017-07-08 15:55,4,LILLE
2017-07-08 17:45,11,LILLE
2017-07-09 16:05,4,MAJESTIC
2017-07-11 20:05,6,LILLE
2017-07-13 19:15,6,LILLE
2017-07-14 10:30,5,LILLE
2017-07-14 15:50,11,LILLE
2017-07-15 13:30,7,LILLE
2017-07-16 15:45,11,LILLE
2017-07-19 20:05,4,LILLE
2017-07-20 19:45,8,LILLE
2017-07-21 20:15,10,LILLE
2017-07-21 22:05,3,LILLE
2017-07-22 13:40,1,LILLE
2017-07-25 20:00,11,LILLE
2017-07-25 21:55,1,LILLE
2017-07-29 13:30,10,LILLE
2017-07-29 17:55,12,LILLE
2017-08-03 16:20,1,LILLE
2017-08-03 21:00,3,MAJESTIC
2017-08-05 20:50,4,MAJESTIC
2017-08-11 18:00,6,LILLE
2017-08-13 11:00,5,LILLE
2017-08-13 20:00,8,LILLE
2017-08-24 18:10,9,LILLE
2017-08-25 19:45,9,LILLE
2017-08-25 22:00,12,LILLE
2017-08-29 19:50,9,LILLE
2017-09-05 15:30,7,LILLE
2017-09-06 13:25,4,LILLE
2017-09-06 15:55,6,LILLE
2017-09-06 17:40,2,LILLE
2017-09-07 16:30,12,LILLE
2017-09-16 13:15,1,LILLE
2017-09-17 15:30,4,MAJESTIC
2017-09-23 20:15,6,LILLE
2017-09-25 20:15,9,LILLE
2017-09-26 20:00,12,LILLE
2017-09-30 13:50,12,LILLE
2017-09-30 19:30,5,LILLE
2017-10-01 14:05,6,LILLE
2017-10-04 20:20,1,LILLE
2017-10-05 20:30,6,LILLE
2017-10-06 18:05,2,LILLE
2017-10-18 19:05,6,LILLE
2017-10-19 18:05,4,LILLE
2017-10-20 19:00,12,LILLE
2017-10-22 13:15,8,LILLE
2017-10-23 20:00,9,LILLE
2017-10-25 19:05,7,LILLE
2017-10-26 18:00,2,MAJESTIC
2017-10-28 14:00,1,LILLE
2017-10-29 13:40,4,MAJESTIC
2017-11-01 13:45,5,LILLE
2017-11-04 13:35,4,LILLE
2017-11-05 13:40,11,LILLE
2017-11-05 16:45,13,LILLE
2017-11-12 18:05,11,LILLE
2017-11-15 18:45,4,MAJESTIC
2017-11-17 19:45,1,LILLE
2017-11-22 17:50,8,LILLE
2017-11-25 15:30,12,LILLE
2017-11-26 15:45,9,LILLE
2017-11-28 20:00,6,LILLE
2017-12-02 16:45,3,LILLE
2017-12-03 16:30,11,LILLE
2017-12-10 15:40,11,LILLE
2017-12-12 20:05,7,LILLE
2017-12-13 18:45,1,MAJESTIC
2017-12-17 15:35,3,LILLE
2017-12-18 17:50,5,LILLE
2017-12-20 19:30,10,LILLE
2017-12-21 19:15,9,LILLE
2017-12-23 10:45,1,LILLE
2017-12-31 15:30,3,LILLE
2017-12-23 17:50,13,LILLE
2017-12-24 13:50,4,MAJESTIC
2017-12-29 16:35,10,LILLE
2017-12-29 19:10,11,LILLE
2017-12-31 13:30,2,LILLE
2017-12-31 20:05,9,LILLE
