date_time,room,theatre
2013-03-20 20:20,11,LILLE
2013-04-03 20:20,8,LILLE
2013-04-09 20:20,9,LILLE
2013-04-14 19:45,1,LILLE
2013-04-15 20:00,3,LILLE
2013-04-18 16:30,11,LILLE
2013-04-23 20:10,4,LILLE
2013-04-23 22:00,6,LILLE
2013-04-26 18:10,4,LILLE
2013-05-03 18:10,8,LILLE
2013-05-13 19:45,4,LILLE
2013-05-19 19:35,13,LILLE
2013-05-23 20:20,9,LILLE
2013-05-23 22:15,7,LILLE
2013-05-24 18:05,6,LILLE
2013-05-24 20:15,14,LILLE
2013-05-24 22:10,2,LILLE
2013-05-26 16:30,4,LILLE
2013-05-26 19:15,3,LILLE
2013-06-02 20:15,12,LILLE
2013-06-03 20:15,4,LILLE
2013-06-03 22:05,9,LILLE
2013-06-04 19:30,12,LILLE
2013-06-14 20:00,13,LILLE
2013-06-14 22:15,2,LILLE
2013-06-20 16:45,8,LILLE
2013-06-20 19:15,6,LILLE
2013-06-20 22:15,3,LILLE
2013-06-23 19:15,6,LILLE
2013-07-09 19:55,9,LILLE
2013-07-09 22:15,13,LILLE
2013-07-15 18:00,6,LILLE
2013-07-15 20:20,8,LILLE
2013-07-18 13:50,10,LILLE
2013-07-18 15:50,7,LILLE
2013-07-18 19:40,1,LILLE
2013-07-18 22:10,3,LILLE
2013-07-28 13:50,6,LILLE
2013-07-30 19:40,12,LILLE
2013-08-12 13:50,7,LILLE
2013-08-12 15:45,6,LILLE
2013-08-12 17:55,10,LILLE
2013-08-13 10:45,9,LILLE
2013-08-13 13:40,12,LILLE
2013-08-15 20:10,1,LILLE
2013-08-16 11:00,9,LILLE
2013-08-25 17:55,4,LILLE
2013-09-02 19:55,14,LILLE
2013-09-12 17:55,13,LILLE
2013-09-18 19:50,6,LILLE
2013-09-23 19:30,9,LILLE
2013-09-27 19:45,8,LILLE
2013-09-27 22:10,9,LILLE
2013-09-28 13:30,4,LILLE
2013-09-29 18:05,6,LILLE
2013-09-29 19:45,10,LILLE
2013-10-01 21:30,1,MAJESTIC
2013-10-24 18:15,13,LILLE
2013-10-24 20:15,1,LILLE
2013-10-24 22:05,2,LILLE
2013-10-26 19:30,14,LILLE
2013-10-27 18:15,6,MAJESTIC
2013-11-05 19:30,12,LILLE
2013-11-07 18:05,10,LILLE
2013-11-07 20:15,4,LILLE
2013-11-08 11:00,12,LILLE
2013-11-01 20:00,1,LILLE
2013-11-17 22:00,12,LILLE
2013-11-25 19:30,6,LILLE
2013-11-27 22:20,11,LILLE
2013-11-28 20:15,9,LILLE
2013-11-30 10:55,12,LILLE
2013-12-01 20:15,5,LILLE
2013-12-03 20:00,8,LILLE
2013-12-04 22:20,8,LILLE
2013-12-07 10:55,11,LILLE
2013-12-13 17:00,6,LILLE
2013-12-13 20:05,5,LILLE
2013-12-13 22:15,3,LILLE
2013-12-23 14:10,13,LYON PART-DIEU
2013-12-26 22:15,4,LILLE
2013-12-27 17:50,3,LILLE
